accession	strain	date	region	country	division	location	length	authors	institution	url
VI44	USVI/44/2016	2016-10-17	North America	Usvi	Saint Thomas	Saint Thomas	10807	Black et al	fh	https://github.com/blab/zika-usvi/
VI20_12plex	USVI/20/2016	2016-10-13	North America	Usvi	Saint Croix	Saint Croix	10792	Black et al	fh	https://github.com/blab/zika-usvi/
VI41	USVI/41/2016	2016-11-10	North America	Usvi	Saint Croix	Saint Croix	10807	Black et al	fh	https://github.com/blab/zika-usvi/
VI32_12plex	USVI/32/2016	2016-08-11	North America	Usvi	Saint Croix	Saint Croix	10792	Black et al	fh	https://github.com/blab/zika-usvi/
VI12	USVI/12/2016	2016-11-04	North America	Usvi	Saint Croix	Saint Croix	10636	Black et al	fh	https://github.com/blab/zika-usvi/
VI46	USVI/46/2016	2016-07-15	North America	Usvi	Saint Thomas	Saint Thomas	10807	Black et al	fh	https://github.com/blab/zika-usvi/
VI23_12plex	USVI/23/2016	2016-07-12	North America	Usvi	Saint Thomas	Saint Thomas	10807	Black et al	fh	https://github.com/blab/zika-usvi/
VI28_1d	USVI/28/2016	2016-11-28	North America	Usvi	Saint Croix	Saint Croix	10807	Black et al	fh	https://github.com/blab/zika-usvi/
VI45	USVI/45/2016	2016-08-03	North America	Usvi	Saint Thomas	Saint Thomas	10807	Black et al	fh	https://github.com/blab/zika-usvi/
VI37	USVI/37/2016	2016-10-06	North America	Usvi	Saint Croix	Saint Croix	10807	Black et al	fh	https://github.com/blab/zika-usvi/
VI39_12plex	USVI/39/2016	2016-11-09	North America	Usvi	Saint Croix	Saint Croix	10807	Black et al	fh	https://github.com/blab/zika-usvi/
VI36	USVI/36/2016	2016-09-13	North America	Usvi	Saint Croix	Saint Croix	10807	Black et al	fh	https://github.com/blab/zika-usvi/
VI34	USVI/34/2016	2016-08-01	North America	Usvi	Saint Thomas	Saint Thomas	10792	Black et al	fh	https://github.com/blab/zika-usvi/
VI11	USVI/11/2016	2016-03-22	North America	Usvi	Saint Thomas	Saint Thomas	10636	Black et al	fh	https://github.com/blab/zika-usvi/
VI6	USVI/6/2016	2016-10-19	North America	Usvi	Saint John	Saint John	10636	Black et al	fh	https://github.com/blab/zika-usvi/
VI3	USVI/3/2016	2016-09-26	North America	Usvi	Saint Thomas	Saint Thomas	10807	Black et al	fh	https://github.com/blab/zika-usvi/
VI27_1d	USVI/27/2016	2016-08-19	North America	Usvi	Saint Thomas	Saint Thomas	10807	Black et al	fh	https://github.com/blab/zika-usvi/
VI13	USVI/13/2016	2016-08-13	North America	Usvi	Saint Thomas	Saint Thomas	10636	Black et al	fh	https://github.com/blab/zika-usvi/
VI7	USVI/7/2016	2016-10-27	North America	Usvi	Saint Thomas	Saint Thomas	10636	Black et al	fh	https://github.com/blab/zika-usvi/
VI38	USVI/38/2016	2016-10-25	North America	Usvi	Saint Thomas	Saint Thomas	10807	Black et al	fh	https://github.com/blab/zika-usvi/
VI19_12plex	USVI/19/2016	2016-11-21	North America	Usvi	Saint Croix	Saint Croix	10792	Black et al	fh	https://github.com/blab/zika-usvi/
VI1_1d	USVI/1/2016	2016-09-28	North America	Usvi	Saint Croix	Saint Croix	10792	Black et al	fh	https://github.com/blab/zika-usvi/
VI42	USVI/42/2016	2016-10-26	North America	Usvi	Saint Croix	Saint Croix	10807	Black et al	fh	https://github.com/blab/zika-usvi/
VI30_1d	USVI/30/2016	2016-08-07	North America	Usvi	Saint Croix	Saint Croix	10807	Black et al	fh	https://github.com/blab/zika-usvi/
VI2	USVI/2/2016	2016-09-28	North America	Usvi	Saint Croix	Saint Croix	10807	Black et al	fh	https://github.com/blab/zika-usvi/
